laptop_ID,Price_euros,Company,TypeName,Inches,Resolution,Screen.Type,Cpu.Vendor,Cpu.Series,Cpu.Speed..GHz.,Ram..GB.,Storage.Type,Memory..GB.,Gpu.Vendor,OpSys,Weight..Kg.,average_rating,rating_count
66,690,HP,Notebook,15.6,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Intel,win,1.86,5,6
67,1983,Asus,Ultrabook,15.6,FHD,Unspecified,Intel,i7,2.8,16,SSD,512,Nvidia,win,1.8,4.6,14
69,229,HP,Notebook,14,HD,Unspecified,Intel,Dual Core,1.6,4,SSD,32,Intel,win,1.44,3.5,699
70,549,Lenovo,Notebook,15.6,FHD,Unspecified,Intel,i5,2.5,4,HDD,1024,Intel,win,1.9,4,3
71,949,Asus,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,12,HDD,1024,Nvidia,lin,3,3.9,109
72,1089,Microsoft,Ultrabook,13.5,FHD,Unspecified,Intel,i5,2.5,4,SSD,128,Intel,win,1.252,4.5,1161
73,955,Dell,Ultrabook,13.3,FHD,IPS,Intel,i7,1.8,8,SSD,256,AMD,win,1.4,2.7,5
74,870,Dell,Notebook,15.6,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,AMD,win,2.2,4,36
75,1095,MSI,Gaming,17.3,FHD,Unspecified,Intel,i5,2.5,8,SSD,128,Nvidia,win,2.7,4.3,101
76,389,Acer,Notebook,14,HD,Unspecified,Intel,i3,2,8,HDD,1024,Intel,win,2.1,3.8,5306
77,949,Asus,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,8,HDD,1024,Nvidia,win,2.2,4.3,160
79,855,Dell,Notebook,15.6,FHD,Unspecified,Intel,i7,1.8,8,SSD,128,Intel,win,2.02,4.1,179
80,530,Acer,Notebook,15.6,FHD,Unspecified,Intel,i3,2.7,4,HDD,1024,Nvidia,win,2.2,4.4,2
82,1096.16,Dell,Ultrabook,15.6,FHD,IPS,Intel,i5,1.6,8,SSD,256,Intel,win,1.88,2.9,6
84,860,HP,Notebook,14,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,1.63,3.5,2
85,399,Lenovo,Notebook,15.6,FHD,Unspecified,AMD,9220,2.5,4,SSD,128,AMD,win,2.2,4,2191
86,395,Acer,Notebook,15.6,HD,Unspecified,AMD,9420,3,4,HDD,1024,AMD,win,2.1,3.8,98
87,1349,Dell,Gaming,15.6,FHD,IPS,Intel,i7,2.8,16,SSD,128,Nvidia,win,2.65,3.9,28
90,1449,Asus,Gaming,15.6,FHD,IPS,Intel,i7,2.8,16,SSD,128,Nvidia,win,2.2,3.9,118
91,1649,Dell,Ultrabook,13.3,FHD,IPS,Intel,i7,1.8,8,SSD,256,Intel,win,1.21,4.4,17
92,699,Asus,Gaming,15.6,FHD,Unspecified,AMD,9830P,3,8,HDD,1024,AMD,win,2.45,4.4,341
93,689,Acer,Notebook,15.6,FHD,Unspecified,Intel,i7,1.8,8,HDD,1024,Nvidia,win,2.2,3.9,26
95,1195,Dell,Gaming,15.6,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Nvidia,win,2.65,3.7,24
96,1049,Asus,Ultrabook,14,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,Intel,win,1.25,3.9,148
97,847,Acer,2 in 1 Convertible,13.3,FHD,IPS,Intel,i5,1.6,8,SSD,256,Intel,win,1.5,4.2,11
98,599.9,Dell,Notebook,15.6,FHD,Unspecified,Intel,i7,2.7,8,HDD,1024,AMD,lin,2.2,3.3,116
99,485,Dell,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,SSD,256,AMD,lin,2.2,4,53
102,1249,HP,Gaming,15.6,FHD,IPS,Intel,i7,2.8,12,SSD,128,Nvidia,win,2.62,4.7,2
103,719,HP,Notebook,15.6,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,AMD,win,1.91,3.3,15
106,1119,HP,Ultrabook,13.3,FHD,IPS,Intel,i7,2.7,8,SSD,256,Nvidia,win,1.38,3.3,17
107,1340,Microsoft,Ultrabook,13.5,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Intel,win,1.252,4.5,516
108,659,HP,Notebook,14,FHD,IPS,Intel,i5,2.5,6,SSD,256,Nvidia,win,1.58,4.2,152
109,414.9,Lenovo,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,HDD,1024,Intel,win,1.85,3.6,6
110,1193,Asus,Ultrabook,14,FHD,IPS,Intel,i7,2.7,8,SSD,256,Nvidia,win,1.3,3.9,13
111,1299,MSI,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Nvidia,win,2.2,4.3,341
112,1480,Lenovo,Notebook,14,FHD,IPS,Intel,i7,2.7,8,SSD,256,Intel,win,1.58,5,3
113,1262,Asus,Ultrabook,15.6,FHD,Unspecified,Intel,i7,1.8,16,SSD,256,Nvidia,win,1.5,4.1,214
115,1399,Lenovo,2 in 1 Convertible,13.3,FHD,IPS,Intel,i5,2.5,8,SSD,256,Intel,win,1.37,3.4,94
116,722,HP,Notebook,14,HD,IPS,Intel,i5,1.6,4,HDD,500,Intel,win,1.63,4.3,11
117,1629,Dell,Ultrabook,13.3,FHD,IPS,Intel,i5,1.6,8,SSD,256,Intel,win,1.21,4.4,11
118,1398.99,HP,2 in 1 Convertible,13.3,FHD,IPS,Intel,i5,1.6,8,SSD,256,Intel,win,1.26,4.5,7
119,1084,HP,Notebook,14,FHD,Unspecified,Intel,i7,1.8,8,SSD,512,Intel,win,1.63,4.9,11
120,1130.33,Dell,Notebook,15.6,FHD,IPS,Intel,i7,1.8,8,SSD,256,Nvidia,win,2.16,3.7,68
121,564,Asus,Notebook,17.3,FHD,Unspecified,Intel,i3,2,4,HDD,1024,Nvidia,win,2,4.2,367
122,1118,Asus,Notebook,15.6,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,Nvidia,win,1.7,4.1,214
123,479,Acer,Notebook,15.6,FHD,IPS,Intel,i3,2.4,6,HDD,1024,Intel,win,2.1,3.5,51
124,2241.5,MSI,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Nvidia,win,1.8,3.6,82
127,451,Acer,Notebook,15.6,HD,Unspecified,AMD,9420,3,4,SSD,256,AMD,win,2.1,3.8,98
129,812,HP,Notebook,14,FHD,Unspecified,Intel,i5,1.6,8,HDD,1024,Intel,win,1.63,3.5,2
130,277.99,Asus,Notebook,14,HD,Unspecified,AMD,6110,1.5,4,SSD,64,AMD,win,1.65,3.8,541
134,449,Dell,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,HDD,1024,AMD,win,2.2,4,53
135,884,Acer,Ultrabook,14,FHD,IPS,Intel,i7,1.8,8,SSD,256,Intel,win,1.6,4.2,69
136,572,Acer,Notebook,15.6,FHD,Unspecified,Intel,i3,2.7,4,SSD,256,Nvidia,win,2.2,4.4,2
137,598,HP,Notebook,15.6,HD,Unspecified,Intel,i7,2.7,8,HDD,1024,Intel,win,2.05,3.7,88
138,988,HP,Notebook,14,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,Intel,win,1.63,4.5,4
140,938,Asus,Gaming,17.3,FHD,Unspecified,Intel,i5,2.5,8,SSD,128,Nvidia,win,3,4.4,579
142,699,HP,Notebook,13.3,FHD,IPS,Intel,i5,2.5,4,SSD,256,Intel,win,1.32,3.9,207
143,655,Acer,Notebook,17.3,FHD,IPS,Intel,i3,2.7,4,HDD,1024,Nvidia,win,3,4.4,2
145,869,Lenovo,Gaming,15.6,FHD,IPS,Intel,i7,2.8,8,SSD,256,Nvidia,no ,2.4,3.9,3
146,602,Toshiba,Notebook,15.6,HD,Unspecified,Intel,i5,2.3,4,HDD,500,Intel,win,2.1,3.5,48
147,369,HP,Notebook,15.6,HD,Unspecified,AMD,9220,2.5,4,SSD,256,AMD,win,1.86,4,17
148,1099,Asus,Ultrabook,14,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,Intel,win,1.25,3.9,148
149,2014,HP,Ultrabook,12.5,UHD,IPS,Intel,M,1.2,8,SSD,512,Intel,win,0.97,4.2,320
150,344,Asus,Notebook,15.6,FHD,Unspecified,Intel,Dual Core,1.1,4,HDD,1024,Intel,win,2,3,12
153,1249.26,Dell,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,16,SSD,512,Nvidia,win,2.56,4,307
158,619,HP,Notebook,15.6,FHD,Unspecified,Intel,i5,1.6,6,SSD,256,AMD,win,1.91,4.3,83
160,1315,Asus,2 in 1 Convertible,13.3,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,1.1,4.3,26
161,1049,Dell,2 in 1 Convertible,15.6,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,Intel,win,1.56,3.6,36
164,403,Asus,Notebook,15.6,HD,Unspecified,AMD,9420,3,4,HDD,1024,AMD,win,2.03,3.7,13
165,805,Acer,Notebook,17.3,FHD,IPS,Intel,i5,1.6,4,SSD,256,Nvidia,win,3,3.9,26
167,1079,Lenovo,Gaming,15.6,FHD,IPS,Intel,i7,2.8,16,SSD,256,Nvidia,win,2.5,4,91
169,1799,MSI,Gaming,15.6,FHD,IPS,Intel,i7,2.8,16,SSD,256,Nvidia,win,2.4,3.4,16
171,1060.49,Dell,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,8,SSD,128,Nvidia,win,2.56,4.1,88
172,854,Acer,Notebook,17.3,FHD,IPS,Intel,i5,1.6,8,SSD,256,Nvidia,win,3,3.9,26
174,1349,Huawei,Ultrabook,13,FHD,IPS,Intel,i5,2.5,8,SSD,256,Intel,win,1.05,4.1,160
175,699,HP,Notebook,17.3,FHD,IPS,Intel,i5,2.5,6,HDD,2048,AMD,win,2.71,3.3,7
176,309,Lenovo,Notebook,15.6,HD,Unspecified,AMD,9220,2.9,4,HDD,500,AMD,no ,2.2,4,2191
177,489,Toshiba,Notebook,15.6,HD,Unspecified,Intel,i3,2.4,4,HDD,500,Intel,win,2,3.5,10
182,813,Lenovo,Notebook,15.6,FHD,Unspecified,Intel,i5,2.5,8,SSD,128,AMD,win,1.9,3.7,25
183,1499,HP,2 in 1 Convertible,13.3,UHD,IPS,Intel,i5,1.6,8,SSD,256,Intel,win,1.29,4.5,7
185,1399,Dell,Ultrabook,13.3,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,1.23,4.4,11
186,1849,Lenovo,2 in 1 Convertible,13.9,UHD,IPS,Intel,i7,1.8,16,SSD,512,Intel,win,1.4,3.8,54
189,1549,Dell,Notebook,17.3,FHD,Unspecified,Intel,i7,1.8,16,SSD,512,Nvidia,win,2.77,5,2
190,2397,Dell,Notebook,15.6,UHD,Unspecified,Intel,i7,2.8,16,SSD,512,Nvidia,win,2.06,1.9,2
191,779,Lenovo,Gaming,15.6,FHD,IPS,Intel,i5,2.5,8,SSD,256,Nvidia,no ,2.4,4.1,92
192,989,Acer,Ultrabook,13.3,FHD,IPS,Intel,i5,1.2,8,SSD,256,Intel,win,1.12,4,6
193,1085,Dell,Notebook,17.3,FHD,Unspecified,Intel,i7,1.8,8,SSD,128,AMD,win,2.8,2.7,5
194,2824,Lenovo,2 in 1 Convertible,14,QHD,Unspecified,Intel,i7,2.7,16,SSD,1024,Intel,win,1.42,3.7,15
195,260,Vero,Notebook,14,FHD,IPS,Intel,Dual Core,1.1,4,SSD,32,Intel,win,1.3,4.3,164
197,698,Lenovo,Notebook,17.3,HD,Unspecified,Intel,i5,1.6,8,SSD,256,Nvidia,no ,2.8,3.8,118
200,6099,Razer,Gaming,17.3,UHD,Unspecified,Intel,i7,2.9,32,SSD,1024,Nvidia,win,3.49,3.4,95
202,1379,HP,Gaming,17.3,FHD,IPS,Intel,i7,2.8,16,SSD,256,Nvidia,win,3.35,4.6,93
205,493,Lenovo,Notebook,15.6,HD,Unspecified,Intel,i5,2.3,4,SSD,128,Intel,win,2.1,3.4,20
206,742,Acer,Notebook,15.6,FHD,Unspecified,Intel,i7,2.7,8,HDD,1024,Nvidia,win,2.23,4.1,150
207,1749,Lenovo,Gaming,15.6,FHD,IPS,Intel,i7,2.8,16,SSD,512,Nvidia,win,3.2,3.6,38
209,1398,Lenovo,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,16,SSD,512,Nvidia,no ,2.4,3.9,3
211,1949,Dell,Ultrabook,13.3,UHD,IPS,Intel,i7,1.8,8,SSD,256,Intel,win,1.21,4.4,17
212,1449,Dell,Ultrabook,13.3,FHD,Unspecified,Intel,i7,1.8,8,SSD,256,Intel,win,1.2,4.4,17
215,779,Acer,Notebook,15.6,FHD,Unspecified,Intel,i7,2.8,8,HDD,1024,Nvidia,lin,2.4,3.5,14
216,1407,Asus,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Nvidia,win,2.9,3.9,68
219,1499,Huawei,Ultrabook,13,FHD,IPS,Intel,i7,2.7,8,SSD,512,Intel,win,1.05,4.1,160
221,589,Lenovo,Notebook,17.3,HD,Unspecified,Intel,i5,2.5,8,HDD,1024,Nvidia,no ,2.8,3.2,49
223,1149,Dell,Ultrabook,14,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,1.6,4.3,9
227,1363,Toshiba,Ultrabook,13.3,FHD,Unspecified,Intel,i7,2.5,8,SSD,256,Intel,win,1.2,4.1,17
228,794,HP,Notebook,15.6,FHD,Unspecified,Intel,i5,1.6,8,HDD,1024,Intel,win,2.1,4.4,7
229,2456.34,Dell,Gaming,17.3,FHD,IPS,Intel,i7,2.8,16,SSD,256,Nvidia,win,4.42,4.3,26
230,832,Acer,Notebook,15.6,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,Nvidia,win,2.2,4.1,150
233,891,Asus,Notebook,17.3,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Nvidia,win,2.69,5,8
235,398.99,Asus,Notebook,15.6,HD,Unspecified,Intel,i3,2.4,4,HDD,1024,Intel,win,2.37,3.9,34
236,330,HP,Notebook,15.6,HD,Unspecified,AMD,9000e,1.5,4,HDD,500,AMD,win,2.1,4,6
237,1499,Lenovo,Gaming,15.6,FHD,IPS,Intel,i7,2.8,16,SSD,256,Nvidia,win,3.2,3.6,38
238,859,Dell,Notebook,14,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Intel,win,1.6,3.5,4
239,689,Acer,2 in 1 Convertible,13.3,FHD,IPS,Intel,i5,2.3,8,SSD,256,Intel,win,1.6,3.1,14
242,575,Asus,Notebook,15.6,FHD,Unspecified,AMD,A10-9620P,2.5,4,SSD,128,AMD,win,2.2,3.9,97
244,846,Acer,Gaming,15.6,FHD,IPS,Intel,i5,2.5,8,SSD,256,Nvidia,win,2.5,4.4,579
245,589,Lenovo,Notebook,15.6,HD,Unspecified,Intel,i3,2,8,SSD,128,Intel,win,2.2,4,35
246,1145,Asus,Notebook,17.3,FHD,Unspecified,Intel,i7,1.8,8,SSD,128,Nvidia,win,2.1,4.1,53
248,879,Dell,Gaming,15.6,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Nvidia,win,2.56,3.8,360
249,1079,Lenovo,2 in 1 Convertible,13.9,FHD,IPS,Intel,i7,2.7,8,SSD,256,Intel,win,1.38,3.7,38
250,985,Dell,Notebook,15.6,FHD,Unspecified,Intel,i7,1.8,8,SSD,128,AMD,win,2.2,4,36
254,2040,Apple,Ultrabook,13.3,QHD,IPS,Intel,i5,3.1,8,SSD,512,Intel,mac,1.37,4.2,379
255,819,Dell,2 in 1 Convertible,15.6,FHD,IPS,Intel,i7,1.8,8,HDD,1024,Intel,win,2.08,3.6,36
256,1799,Asus,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Nvidia,win,4.3,3.9,110
258,1849,Lenovo,2 in 1 Convertible,13.9,FHD,IPS,Intel,i7,1.8,8,SSD,512,Intel,win,1.37,3.8,54
261,445.9,HP,Notebook,15.6,HD,Unspecified,AMD,A6-9220,2.5,8,SSD,128,AMD,win,1.91,4,585
262,1059,HP,Notebook,17.3,FHD,IPS,Intel,i7,1.8,16,HDD,1024,Nvidia,win,2.9,4.7,38
263,2499,MSI,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,16,SSD,512,Nvidia,win,4.14,3.5,64
264,1699,Lenovo,2 in 1 Convertible,15.6,FHD,IPS,Intel,i7,2.8,8,SSD,512,Nvidia,win,2,3.7,71
267,722,HP,Notebook,15.6,FHD,IPS,Intel,i5,1.6,4,HDD,500,Intel,win,2.1,4.4,7
268,657,Dell,Notebook,15.6,FHD,Unspecified,Intel,i5,2.5,4,HDD,1024,Intel,win,2.18,3.9,3
270,799,Dell,2 in 1 Convertible,15.6,FHD,Unspecified,Intel,i5,1.6,8,SSD,256,Intel,win,2.67,3.6,36
271,1499,Asus,2 in 1 Convertible,13.3,FHD,Unspecified,Intel,i7,1.8,8,SSD,512,Intel,win,1.1,4.2,16
275,1958.9,Apple,Ultrabook,13.3,QHD,IPS,Intel,i5,2.9,8,SSD,512,Intel,mac,1.37,4.3,215
278,2499,Lenovo,2 in 1 Convertible,14,QHD,Unspecified,Intel,i7,2.6,16,SSD,512,Intel,win,1.36,4.4,12
281,1099,Dell,Notebook,17.3,FHD,Unspecified,Intel,i7,1.8,8,SSD,128,AMD,lin,2.8,2.7,5
282,745,Acer,Notebook,15.6,FHD,IPS,Intel,i7,1.8,8,HDD,1024,Nvidia,win,2.2,4.4,78
283,489,Lenovo,Notebook,17.3,HD,Unspecified,Intel,i3,2,4,HDD,1024,Intel,win,2.8,3.2,49
284,849,Lenovo,Notebook,17.3,FHD,Unspecified,Intel,i7,1.8,8,HDD,2048,Nvidia,no ,2.8,4.1,214
286,428,Dell,Notebook,15.6,FHD,Unspecified,Intel,i3,2,4,HDD,1024,AMD,lin,2.25,4,53
287,829,Lenovo,Gaming,15.6,FHD,IPS,Intel,i5,2.5,8,SSD,256,Nvidia,win,2.5,4.1,92
289,951,Acer,Notebook,15.6,FHD,IPS,Intel,i7,1.8,8,SSD,256,Nvidia,win,3,3.9,26
290,659,Acer,Notebook,15.6,FHD,IPS,Intel,i7,2.7,12,HDD,1024,Intel,win,2.15,3.5,51
292,977,Asus,Ultrabook,15.6,FHD,Unspecified,Intel,i5,2.5,8,SSD,256,Nvidia,win,1.7,3.4,12
294,659.01,Lenovo,Notebook,15.6,FHD,Unspecified,Intel,i7,2.7,8,HDD,1024,Nvidia,no ,2.2,3.2,13
295,199,Acer,Notebook,15.6,HD,Unspecified,Intel,Dual Core,1.5,2,SSD,16,Intel,chr,2.19,4.1,36
296,1187,Asus,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,8,HDD,1024,Nvidia,win,3,3.9,109
297,489,HP,Notebook,17.3,HD,Unspecified,Intel,i3,2,8,HDD,1024,Intel,win,2.54,4.4,265
298,1829,Dell,Notebook,15.6,FHD,Unspecified,Intel,i7,2.8,8,SSD,256,Nvidia,win,2,4.7,2
300,1299,Lenovo,Gaming,15.6,FHD,IPS,Intel,i7,2.8,8,HDD,1024,Nvidia,win,3.2,3.6,38
301,979,Acer,Notebook,15.6,FHD,Unspecified,Intel,i7,2.8,8,SSD,256,Nvidia,lin,2.5,3.5,14
304,1468,Asus,Ultrabook,15.6,FHD,Unspecified,Intel,i7,2.7,16,SSD,512,Nvidia,win,1.63,3.9,13
305,509,Asus,Notebook,14,HD,Unspecified,Intel,i3,2.4,4,SSD,128,Intel,win,1.3,3.8,5306
306,2122,Asus,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Nvidia,win,2.9,4,96
307,649,Lenovo,Notebook,17.3,HD,Unspecified,Intel,i5,2.5,6,HDD,1024,Nvidia,win,2.8,3.2,49
309,1265,Asus,Gaming,15.6,FHD,Unspecified,Intel,i7,2.8,8,SSD,128,Nvidia,win,2.5,3.8,296
310,359.99,Lenovo,Notebook,15.6,HD,Unspecified,Intel,Quad Core,1.1,4,HDD,1024,Intel,no ,2.2,4,12
311,1975,HP,2 in 1 Convertible,13.3,FHD,Unspecified,Intel,i7,2.8,16,SSD,256,Intel,win,1.28,4.1,94
316,2499,Dell,Ultrabook,13.3,UHD,IPS,Intel,i7,1.8,16,SSD,1024,Intel,win,1.21,4.4,17
318,469,Acer,Notebook,15.6,FHD,Unspecified,AMD,7410,2.2,8,SSD,256,AMD,win,2.23,4,39
319,275,Asus,2 in 1 Convertible,11.6,HD,Unspecified,Intel,Dual Core,1.1,2,SSD,32,Intel,win,1.1,4.3,971
320,844,Dell,Notebook,15.6,FHD,Unspecified,Intel,i5,1.6,8,SSD,128,AMD,win,2.33,4,36
321,2449,HP,2 in 1 Convertible,13.3,UHD,IPS,Intel,i7,1.8,16,SSD,1024,Intel,win,1.29,3.9,95
326,589,Lenovo,Notebook,17.3,HD,Unspecified,Intel,i5,2.5,4,HDD,1024,Nvidia,win,2.79,3.2,49
327,1094,Asus,Notebook,14,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,Intel,win,2,4.2,108
330,659,Acer,Notebook,15.6,HD,Unspecified,AMD,9720P,2.7,8,SSD,256,AMD,win,2.2,4.6,202
331,292,Lenovo,Notebook,14,HD,Unspecified,Intel,Dual Core,1.1,4,SSD,32,Intel,win,1.44,3.2,103
332,549,Acer,Notebook,15.6,HD,Unspecified,Intel,i5,2.5,6,HDD,1024,Intel,win,2.23,3.8,5306
333,1049.9,Asus,Ultrabook,15.6,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,Nvidia,win,1.7,3.9,134
334,1335,HP,Ultrabook,12.5,FHD,Unspecified,Intel,i7,2.7,8,SSD,256,Intel,win,1.26,3.7,35
336,1199,MSI,Gaming,17.3,FHD,Unspecified,Intel,i7,2.8,8,SSD,256,Nvidia,win,2.7,4.3,101
